payment_id,order_id,amount,status,payment_method
126,17546,500 USD,pending,crypto
127,25098,250,,
128,2501,250,PAID,crypto
129,6821,$500,PAID,Transfer
130,25712,250,,crypto
131,10432,500 USD,,Transfer
132,13228,100,,crypto
133,22578,250,pending,crypto
134,448,$500,pending,Card
135,27515,-50,PAID,Card
136,29165,$500,PAID,Transfer
137,29953,100,pending,CARD
138,3260,250,,Card
139,633,,,Cash
140,6248,$500,paid,Cash
141,5216,250,paid,Transfer
142,4422,100,failed,crypto
143,6394,$500,pending,Card
144,21446,250,paid,
145,29125,100,pending,crypto
146,26686,500 USD,paid,Card
147,2251,-50,paid,Cash
148,26321,500 USD,,Cash
149,2880,500 USD,paid,Card
150,22824,500 USD,failed,Transfer
151,2094,$500,paid,Transfer
152,19652,,paid,
153,11759,-50,PAID,
154,29821,500 USD,,crypto
155,6975,500 USD,failed,
156,572,-50,pending,Cash
157,12765,100,paid,Card
158,31450,100,pending,Card
159,2334,100,pending,CARD
160,11393,-50,,CARD
161,11307,500 USD,,
162,6116,$500,pending,
163,9967,250,pending,crypto
164,27021,,failed,Transfer
165,24053,-50,paid,crypto
166,11696,$500,,Transfer
167,9902,250,paid,CARD
168,21628,-50,,crypto
169,1170,250,PAID,Cash
170,27381,$500,PAID,CARD
171,11768,250,paid,crypto
172,14445,-50,,
173,5524,-50,pending,Card
174,30427,,,Cash
175,19067,100,,crypto
176,5925,100,,CARD
177,8087,250,pending,Card
178,16980,-50,,CARD
179,23888,500 USD,,CARD
180,3531,500 USD,paid,Card
181,4531,$500,,Cash
182,8348,$500,,CARD
183,6828,100,paid,Transfer
184,6422,100,,Card
185,30443,100,,Cash
186,20978,-50,failed,Card
187,6169,500 USD,PAID,CARD
188,17517,500 USD,pending,
189,17841,$500,,crypto
190,65,,PAID,crypto
191,29865,,failed,Transfer
192,29394,100,,CARD
193,25530,,failed,CARD
194,11707,250,pending,Cash
195,28264,$500,failed,Cash
196,11793,$500,pending,Transfer
197,22958,500 USD,,Cash
198,23964,,failed,crypto
199,10279,-50,pending,Card
200,14694,250,failed,Cash
201,5567,-50,paid,Cash
202,22277,,,Transfer
203,22531,,PAID,Cash
204,23044,250,paid,Transfer
205,7080,250,,Transfer
206,10567,$500,failed,Card
207,28928,500 USD,,crypto
208,17356,,pending,
209,4225,,failed,crypto
210,27382,100,,crypto
211,22090,100,pending,Transfer
212,27629,-50,,Card
213,25303,-50,failed,CARD
214,9988,-50,,CARD
215,2762,100,,Cash
216,21556,-50,,Card
217,16769,250,pending,
218,9295,500 USD,failed,Card
219,11095,-50,PAID,Card
220,4411,$500,,crypto
221,26685,$500,,Card
222,24015,-50,paid,CARD
223,22213,100,failed,Transfer
224,8606,-50,pending,Cash
225,23390,250,pending,crypto
226,20343,,,Cash
227,7051,-50,,Cash
228,11710,,pending,Transfer
229,12123,500 USD,,crypto
230,29179,,,Transfer
231,25603,250,,crypto
232,6639,500 USD,paid,Transfer
233,7147,$500,,CARD
234,28452,100,PAID,Cash
235,594,$500,pending,CARD
236,23389,$500,,Card
237,27755,-50,,Transfer
238,22876,500 USD,paid,Transfer
239,20300,-50,paid,crypto
240,3905,,PAID,Cash
241,27379,500 USD,failed,Card
242,26192,,failed,Transfer
243,19648,250,failed,Card
244,7638,$500,,Cash
245,8712,100,pending,
246,20159,500 USD,,crypto
247,1039,100,PAID,Transfer
248,19907,$500,failed,Card
249,4814,100,pending,crypto
250,20199,100,,Cash
251,20852,,,Cash
252,1398,,paid,Cash
253,114,$500,failed,CARD
254,20868,500 USD,PAID,Cash
255,29736,250,failed,CARD
256,15920,,PAID,crypto
257,26579,250,paid,CARD
258,9444,-50,,crypto
259,21173,250,paid,CARD
260,10172,100,,crypto
261,15759,100,paid,Cash
262,11822,500 USD,paid,Card
263,1236,$500,paid,Card
264,19123,250,PAID,CARD
265,19267,250,pending,CARD
266,24796,500 USD,failed,
267,11046,500 USD,,crypto
268,912,250,failed,Card
269,11696,100,PAID,crypto
270,1465,100,pending,Cash
271,10022,100,pending,Card
272,20733,500 USD,,crypto
273,26231,100,pending,CARD
274,26214,,,Transfer
275,1269,500 USD,pending,
276,23105,-50,failed,crypto
277,13782,-50,,
278,12158,,failed,crypto
279,30088,$500,pending,crypto
280,28268,$500,pending,crypto
281,19623,500 USD,failed,CARD
282,7017,250,paid,Card
283,9573,-50,paid,CARD
284,4700,$500,,Cash
285,5360,500 USD,PAID,Card
286,14547,-50,failed,Card
287,23869,250,,Cash
288,24157,250,PAID,crypto
289,24387,$500,failed,
290,29769,$500,failed,Card
291,12018,-50,,CARD
292,3354,250,PAID,Card
293,17276,$500,,crypto
294,30766,500 USD,failed,
295,28795,,failed,Transfer
296,3745,,failed,crypto
297,22463,100,paid,CARD
298,24649,500 USD,failed,
299,8760,-50,,CARD
300,29212,$500,pending,crypto
301,7121,-50,,Transfer
302,6234,,failed,crypto
303,25373,,paid,Cash
304,13800,500 USD,pending,crypto
305,13660,500 USD,failed,
306,1508,100,,Card
307,1679,500 USD,pending,Card
308,11518,,,crypto
309,17564,250,,Card
310,20648,-50,,Cash
311,1374,250,PAID,Transfer
312,3636,-50,PAID,Cash
313,353,-50,pending,Card
314,575,100,failed,
315,6209,$500,pending,
316,16946,,paid,Card
317,187,-50,,crypto
318,25520,-50,failed,
319,9794,100,,
320,4792,,paid,Transfer
321,13439,100,pending,crypto
322,26287,$500,failed,CARD
323,27272,500 USD,PAID,Transfer
324,3294,,pending,Card
325,23003,250,,Transfer
326,6241,250,failed,Card
327,18377,$500,,CARD
328,20132,500 USD,pending,Transfer
329,5108,100,,crypto
330,14231,$500,paid,Card
331,879,500 USD,PAID,Card
332,31792,250,pending,CARD
333,90,$500,paid,Card
334,5042,,PAID,CARD
335,9725,100,failed,crypto
336,27153,500 USD,PAID,Transfer
337,26904,-50,PAID,crypto
338,9873,,,crypto
339,30376,100,pending,CARD
340,25925,,paid,Transfer
341,4910,$500,failed,CARD
342,15913,500 USD,,Cash
343,2372,250,pending,CARD
344,14253,$500,,crypto
345,3533,$500,pending,
346,17478,,pending,Cash
347,9424,250,PAID,CARD
348,22638,100,failed,crypto
349,16951,$500,PAID,
350,24474,-50,,Card
351,13669,500 USD,,CARD
352,17700,100,,
353,31848,100,paid,crypto
354,18013,500 USD,PAID,Transfer
355,15944,$500,PAID,crypto
356,1868,500 USD,,CARD
357,27206,500 USD,PAID,Cash
358,22629,,,Cash
359,14528,-50,paid,Card
360,19414,$500,,
361,27812,100,PAID,Transfer
362,3144,$500,paid,Transfer
363,17022,100,pending,Transfer
364,19862,500 USD,PAID,CARD
365,7925,,paid,crypto
366,17312,100,failed,Transfer
367,3643,250,PAID,Transfer
368,30893,100,PAID,Card
369,17957,,,crypto
370,15460,250,PAID,Card
371,15862,$500,PAID,
372,4657,100,,CARD
373,21844,$500,PAID,Card
374,15746,-50,,Card
375,5546,500 USD,failed,Transfer
376,14492,100,PAID,crypto
377,24199,-50,failed,Cash
378,16977,250,paid,crypto
379,8585,100,,Card
380,5937,,pending,Cash
381,2166,$500,failed,crypto
382,19776,$500,PAID,CARD
383,24241,$500,pending,Cash
384,28815,,failed,Transfer
385,7286,250,paid,Transfer
386,25595,-50,PAID,Card
387,30357,$500,failed,Card
388,14375,250,failed,crypto
389,21929,$500,PAID,CARD
390,3181,500 USD,pending,
391,21975,$500,,
392,18371,$500,PAID,Cash
393,25243,-50,failed,Card
394,6185,500 USD,paid,Cash
395,9232,100,pending,Cash
396,8718,,,crypto
397,20113,-50,,Cash
398,22421,$500,pending,
399,31255,,failed,Card
400,7429,100,paid,CARD
401,6909,-50,failed,Cash
402,19060,250,failed,CARD
403,25820,500 USD,,Cash
404,22065,-50,,crypto
405,9613,500 USD,,
406,26050,$500,pending,Transfer
407,17103,-50,pending,CARD
408,10053,$500,paid,Transfer
409,22956,250,paid,crypto
410,3203,-50,paid,Transfer
411,23381,250,failed,Card
412,27770,,pending,CARD
413,17537,500 USD,paid,
414,6008,250,PAID,Transfer
415,29854,500 USD,pending,crypto
416,29121,$500,pending,
417,21424,250,pending,Cash
418,7363,$500,pending,Card
419,3261,$500,PAID,
420,7868,500 USD,,crypto
421,22269,500 USD,,CARD
422,19140,250,failed,CARD
423,5706,$500,PAID,Card
424,620,500 USD,failed,crypto
425,26823,250,,Transfer
426,11760,500 USD,,Cash
427,262,500 USD,paid,CARD
428,26599,$500,PAID,Card
429,22369,$500,pending,
430,28878,$500,,CARD
431,6323,-50,,crypto
432,22219,$500,,Cash
433,13166,-50,PAID,Transfer
434,21866,500 USD,PAID,Transfer
435,28596,100,,CARD
436,22058,100,,Cash
437,578,$500,pending,CARD
438,6933,,failed,crypto
439,20729,-50,pending,
440,15683,100,PAID,crypto
441,9786,$500,paid,
442,28737,250,failed,crypto
443,9025,-50,PAID,crypto
444,859,500 USD,pending,Card
445,25547,,,CARD
446,15895,100,paid,
447,28173,100,paid,Card
448,19488,$500,pending,crypto
449,14612,,PAID,Transfer
450,21391,$500,pending,Transfer
451,22629,,pending,
452,27943,$500,paid,CARD
453,7640,-50,,Card
454,20433,250,failed,Card
455,5229,250,PAID,Cash
456,18393,-50,PAID,crypto
457,17779,250,failed,
458,4122,,paid,Card
459,21381,100,,
460,8409,,,Transfer
461,170,250,,CARD
462,18320,250,pending,Card
463,29961,100,failed,CARD
464,27587,,paid,Transfer
465,14001,500 USD,,crypto
466,16811,-50,PAID,CARD
467,28162,,,CARD
468,29078,100,pending,Cash
469,11862,$500,paid,Card
470,1138,,,crypto
471,3544,100,PAID,Transfer
472,29001,250,PAID,Card
473,8142,250,pending,crypto
474,28417,250,PAID,Transfer
475,12925,-50,,Card
476,17370,250,,Card
477,432,250,pending,Card
478,17358,250,failed,crypto
479,16149,500 USD,PAID,Cash
480,30841,-50,failed,Card
481,30091,500 USD,,crypto
482,18004,500 USD,pending,
483,27271,500 USD,,Card
484,26170,250,PAID,Transfer
485,26733,,PAID,Cash
486,13821,500 USD,,Cash
487,31456,250,,
488,7049,,,Cash
489,29084,500 USD,paid,Cash
490,13620,250,paid,Card
491,5890,-50,failed,crypto
492,8913,500 USD,failed,Cash
493,9213,100,,
494,23150,$500,,Card
495,6638,500 USD,paid,crypto
496,28306,-50,failed,Cash
497,7869,$500,,crypto
498,6669,500 USD,pending,Transfer
499,19228,$500,PAID,Card
500,25103,,,Cash
501,25314,250,,Cash
502,16583,100,,CARD
503,25868,-50,failed,Transfer
504,9441,-50,paid,Transfer
505,26151,500 USD,,Cash
506,13941,,,
507,20450,,PAID,CARD
508,21699,500 USD,,
509,31915,-50,PAID,Transfer
510,20437,250,paid,Cash
511,9013,100,,Card
512,10800,,failed,Card
513,28772,100,,CARD
514,25683,,,Card
515,22921,-50,pending,Transfer
516,24103,$500,failed,Cash
517,17103,250,paid,crypto
518,27063,100,,crypto
519,5147,500 USD,pending,crypto
520,6941,$500,pending,crypto
521,31629,250,,CARD
522,16542,$500,pending,Card
523,28570,$500,paid,CARD
524,19836,250,,Card
525,25493,500 USD,PAID,Transfer
526,23818,$500,pending,Transfer
527,5645,500 USD,pending,Cash
528,17699,500 USD,,CARD
529,20434,,,Cash
530,13462,250,failed,crypto
531,30088,-50,failed,Transfer
532,29260,$500,,Transfer
533,6247,100,pending,CARD
534,14260,,PAID,crypto
535,576,100,,crypto
536,11719,$500,paid,Card
537,27375,100,,crypto
538,384,250,paid,Cash
539,3294,500 USD,failed,CARD
540,23521,-50,pending,CARD
541,3838,-50,failed,CARD
542,11835,100,pending,crypto
543,6769,$500,pending,
544,27056,500 USD,pending,
545,8619,,failed,
546,29491,,PAID,Transfer
547,4132,500 USD,pending,
548,5173,$500,,Transfer
549,3546,-50,,crypto
550,11763,100,paid,Cash
551,3307,-50,failed,Transfer
552,18833,-50,PAID,
553,24294,-50,,Cash
554,25216,$500,pending,crypto
555,30343,$500,failed,
556,1625,250,,crypto
557,19727,250,paid,
558,27890,500 USD,,
559,26373,,pending,CARD
560,30804,500 USD,,crypto
561,31226,-50,,CARD
562,18116,100,pending,Card
563,21,,paid,Transfer
564,31940,100,failed,Card
565,20108,100,,crypto
566,18069,500 USD,,crypto
567,15260,$500,,CARD
568,30485,,paid,
569,20461,500 USD,,
570,5437,-50,paid,CARD
571,15675,-50,failed,Cash
572,11935,$500,paid,Transfer
573,27735,-50,pending,
574,29457,250,,
575,27734,100,paid,Cash
576,28206,250,paid,Card
577,24613,-50,pending,
578,13322,$500,pending,crypto
579,27762,,pending,Card
580,7948,100,PAID,CARD
581,13557,-50,paid,Cash
582,29068,-50,pending,
583,30965,100,paid,Transfer
584,1106,500 USD,paid,Transfer
585,22855,-50,,Transfer
586,7470,500 USD,PAID,crypto
587,13797,250,paid,Card
588,11436,,pending,
589,2622,-50,PAID,Transfer
590,208,,failed,CARD
591,4969,100,,
592,13312,-50,pending,
593,18229,250,paid,Card
594,22955,$500,,Transfer
595,31838,$500,pending,crypto
596,12843,500 USD,failed,
597,25479,100,failed,
598,8215,250,PAID,Transfer
599,19458,$500,paid,Cash
600,22541,250,pending,Transfer
601,6950,$500,PAID,Transfer
602,25542,-50,,
603,8019,100,failed,crypto
604,7514,$500,,
605,2096,,,Transfer
606,11212,500 USD,paid,Cash
607,23084,,PAID,CARD
608,30064,500 USD,pending,CARD
609,16334,-50,failed,Cash
610,22457,-50,,crypto
611,18879,$500,PAID,Cash
612,164,250,,Card
613,409,250,paid,Transfer
614,25409,-50,PAID,CARD
615,18494,-50,pending,CARD
616,28392,,failed,
617,23139,$500,,Transfer
618,28714,,PAID,Card
619,15865,-50,,crypto
620,3033,500 USD,paid,
621,14996,100,failed,crypto
622,27374,100,paid,Transfer
623,25940,$500,PAID,crypto
624,9546,100,,Transfer
625,7763,100,,
626,21519,100,paid,Transfer
627,21710,$500,,
628,4751,250,paid,Cash
629,11225,250,PAID,crypto
630,21912,$500,pending,Transfer
631,28751,-50,,CARD
632,7604,,paid,CARD
633,23201,100,failed,Cash
634,26322,-50,failed,CARD
635,10941,-50,paid,crypto
636,15769,,PAID,Transfer
637,3273,250,,Transfer
638,14265,100,,Transfer
639,4178,250,,crypto
640,23164,$500,,
641,16155,500 USD,failed,Transfer
642,4326,250,,CARD
643,7380,250,,Cash
644,12713,-50,pending,
645,72,-50,paid,
646,3616,100,,CARD
647,29006,$500,failed,Card
648,29558,,paid,
649,25723,,,Card
650,27216,,pending,Transfer
651,6374,500 USD,failed,CARD
652,14238,500 USD,,Cash
653,19133,$500,failed,
654,31341,100,,Cash
655,31936,250,pending,CARD
656,5733,100,,crypto
657,23774,100,,Card
658,8231,$500,failed,Cash
659,17180,,failed,Card
660,5590,,pending,Transfer
661,30688,250,,Transfer
662,6132,500 USD,,
663,13859,$500,pending,Transfer
664,28445,,failed,Transfer
665,20152,500 USD,PAID,
666,10869,250,failed,Cash
667,26004,,paid,Transfer
668,16978,250,failed,crypto
669,22234,500 USD,PAID,
670,18465,250,,CARD
671,5346,500 USD,pending,Card
672,22246,$500,,crypto
673,7675,-50,pending,CARD
674,21383,100,pending,Transfer
675,11265,250,,Transfer
676,30906,100,PAID,Transfer
677,6157,$500,PAID,Transfer
678,13187,-50,PAID,CARD
679,31438,,paid,Transfer
680,19436,100,PAID,CARD
681,24166,,,Transfer
682,22955,500 USD,pending,Card
683,4014,250,failed,
684,31146,100,pending,crypto
685,15350,$500,pending,Transfer
686,17313,,pending,Card
687,2158,,,CARD
688,25158,250,,
689,16484,$500,,CARD
690,20070,$500,pending,Transfer
691,24825,500 USD,failed,
692,9706,,PAID,Card
693,10651,100,paid,CARD
694,9902,-50,pending,Cash
695,3680,,pending,Card
696,31439,250,PAID,Transfer
697,11327,250,,
698,17951,-50,,Cash
699,6124,$500,pending,Card
700,17587,500 USD,,CARD
701,12820,$500,,Transfer
702,17587,,paid,crypto
703,9685,,paid,Transfer
704,4912,,paid,CARD
705,25695,250,paid,
706,27562,500 USD,,CARD
707,16671,250,paid,
708,23988,,pending,Cash
709,8986,500 USD,pending,Cash
710,17362,250,pending,
711,23492,,pending,Transfer
712,9117,100,,CARD
713,16054,250,,CARD
714,20707,,paid,Transfer
715,8169,,pending,CARD
716,24774,250,PAID,Card
717,28569,100,,
718,2733,500 USD,pending,crypto
719,773,250,paid,crypto
720,4108,250,,crypto
721,14305,250,failed,
722,29319,-50,PAID,Transfer
723,5913,500 USD,failed,Card
724,13166,250,,Transfer
725,2212,500 USD,paid,CARD
726,19144,$500,paid,
727,9551,250,PAID,Cash
728,18867,250,PAID,
729,14709,$500,,Card
730,4132,-50,failed,Cash
731,16843,-50,failed,
732,15491,$500,,
733,7045,-50,failed,Card
734,30155,$500,,Cash
735,7662,-50,PAID,Card
736,24635,-50,failed,
737,1523,250,,Cash
738,26214,,,crypto
739,3982,-50,,CARD
740,12999,500 USD,PAID,Cash
741,9332,$500,,crypto
742,27873,100,PAID,CARD
743,23757,-50,PAID,Transfer
744,9182,500 USD,,crypto
745,21817,100,,
746,17409,500 USD,,CARD
747,18960,250,,
748,262,-50,,crypto
749,3288,100,paid,Transfer
750,14839,250,paid,
751,18269,250,,crypto
752,27213,500 USD,paid,Transfer
753,24607,$500,,CARD
754,22878,500 USD,PAID,Transfer
755,3133,250,failed,
756,10101,,,CARD
757,22673,$500,,Card
758,30862,250,PAID,
759,24005,500 USD,failed,CARD
760,27794,100,PAID,Transfer
761,18979,-50,,
762,14474,,,CARD
763,21901,-50,PAID,Cash
764,23355,500 USD,,
765,4817,,failed,Cash
766,24936,-50,paid,CARD
767,25594,100,paid,Card
768,9522,,,Cash
769,20332,250,,Card
770,30612,100,paid,Cash
771,11255,100,pending,Cash
772,23703,-50,PAID,
773,29064,100,failed,Card
774,14172,-50,PAID,Transfer
775,15884,-50,,Card
776,2440,500 USD,paid,Card
777,13948,250,paid,Transfer
778,225,250,pending,
779,8536,-50,failed,Transfer
780,25020,-50,failed,Cash
781,7013,100,failed,CARD
782,5770,,,crypto
783,28021,100,failed,Cash
784,304,100,,Cash
785,9366,$500,,Transfer
786,31021,,paid,CARD
787,21503,500 USD,pending,crypto
788,31337,100,failed,crypto
789,16525,,,
790,18832,$500,paid,Card
791,15041,,pending,crypto
792,26084,250,PAID,Transfer
793,6945,-50,PAID,
794,17442,,pending,Transfer
795,15602,$500,pending,
796,11578,$500,,Transfer
797,25595,-50,,
798,7836,500 USD,,Cash
799,26001,$500,,Transfer
800,10195,-50,paid,Transfer
801,27932,100,failed,
802,12672,500 USD,failed,
803,28660,,PAID,
804,19012,250,pending,Card
805,26500,500 USD,,
806,1638,-50,paid,Card
807,560,-50,PAID,Transfer
808,18011,$500,failed,crypto
809,5857,-50,PAID,crypto
810,25621,,,Card
811,26327,,,
812,21675,-50,failed,Card
813,25745,-50,paid,crypto
814,14874,-50,pending,Transfer
815,17933,-50,,Card
816,15291,$500,,CARD
817,14190,250,PAID,crypto
818,2707,$500,,Card
819,16034,250,,CARD
820,6272,$500,,Cash
821,8038,$500,,crypto
822,25706,250,,Card
823,1936,500 USD,,crypto
824,30080,500 USD,,Card
825,27501,100,,Transfer
826,1249,500 USD,,crypto
827,5336,100,pending,Card
828,17952,250,pending,Transfer
829,15678,$500,pending,Card
830,11825,100,,Transfer
831,13450,250,,CARD
832,9767,$500,paid,crypto
833,8240,100,,Cash
834,9510,$500,pending,CARD
835,24744,100,pending,Transfer
836,1929,250,,Card
837,4308,500 USD,,
838,29506,$500,,Card
839,21484,$500,,
840,5960,250,pending,Card
841,2034,$500,,Card
842,11110,100,,
843,16061,100,failed,Cash
844,28097,100,paid,CARD
845,16768,500 USD,,CARD
846,31589,500 USD,PAID,
847,8976,-50,failed,Transfer
848,10868,100,,
849,6700,-50,,CARD
850,25386,100,pending,Card
851,13504,250,paid,Card
852,29983,,,CARD
853,6774,,pending,
854,3030,-50,paid,CARD
855,13243,250,pending,Card
856,965,$500,pending,Cash
857,740,,,
858,15856,500 USD,PAID,CARD
859,28318,100,,
860,11191,250,,CARD
861,22982,250,pending,Transfer
862,16474,$500,paid,Card
863,13569,100,pending,Cash
864,28070,500 USD,pending,Card
865,10629,$500,paid,crypto
866,31667,$500,,Cash
867,24940,,paid,Card
868,30532,100,,
869,4994,-50,,Cash
870,12521,$500,paid,Transfer
871,26076,250,failed,Card
872,30924,,paid,CARD
873,13063,250,,
874,26239,500 USD,pending,crypto
875,11369,250,PAID,Card
876,14003,100,paid,Cash
877,6806,,paid,crypto
878,1139,250,,Card
879,20507,500 USD,,Transfer
880,19154,-50,failed,Card
881,25424,$500,,Transfer
882,1197,500 USD,paid,Cash
883,23761,$500,PAID,Transfer
884,2686,250,PAID,Transfer
885,12051,,pending,
886,30552,,,Cash
887,26022,-50,failed,Card
888,29056,250,failed,Cash
889,10217,100,paid,CARD
890,19838,$500,,
891,3652,$500,,CARD
892,31481,500 USD,PAID,Card
893,27720,-50,PAID,crypto
894,9980,$500,,Card
895,3015,100,,
896,16395,100,paid,
897,29837,$500,,CARD
898,10646,$500,pending,Card
899,12238,100,PAID,Transfer
900,2047,,,crypto
901,21827,,,
902,9215,100,,Card
903,13516,$500,pending,CARD
904,10800,250,paid,Cash
905,14580,-50,PAID,
906,14776,100,,Card
907,31265,-50,failed,CARD
908,3773,-50,paid,CARD
909,17825,-50,pending,Cash
910,3978,100,PAID,Cash
911,6828,250,failed,Cash
912,15020,100,paid,CARD
913,25789,,failed,crypto
914,4782,250,paid,Card
915,21776,500 USD,failed,Transfer
916,30650,$500,,
917,22909,-50,pending,CARD
918,7637,$500,paid,
919,28136,250,paid,Card
920,24207,,failed,Transfer
921,31692,-50,PAID,Card
922,11045,250,pending,crypto
923,19423,250,paid,CARD
924,22711,500 USD,PAID,Cash
925,9416,500 USD,pending,CARD
926,31540,500 USD,failed,
927,2744,,paid,Card
928,24814,250,failed,Transfer
929,20063,500 USD,paid,Transfer
930,15953,-50,,Card
931,26721,250,paid,Cash
932,180,,paid,Cash
933,975,500 USD,pending,CARD
934,11698,,paid,Card
935,29574,$500,,CARD
936,20648,$500,,Card
937,12206,-50,paid,CARD
938,3862,,,Cash
939,29835,-50,,Cash
940,5028,-50,pending,Transfer
941,13436,,,crypto
942,30429,-50,failed,Transfer
943,28745,-50,PAID,Cash
944,27935,100,pending,Card
945,14544,,pending,Cash
946,29212,100,,Card
947,27936,-50,pending,CARD
948,2225,$500,,
949,10320,500 USD,pending,Cash
950,24586,-50,failed,Card
951,18892,,pending,crypto
952,2564,$500,failed,CARD
953,20628,250,,CARD
954,22916,500 USD,,Cash
955,20160,$500,,
956,21762,,PAID,Transfer
957,23515,-50,,crypto
958,25768,250,,Card
959,12260,250,paid,
960,20055,-50,,Card
961,8397,$500,PAID,CARD
962,11642,,paid,
963,8916,500 USD,failed,Transfer
964,25217,,paid,
965,29278,$500,PAID,Card
966,7419,500 USD,failed,
967,11908,$500,,Card
968,8367,-50,failed,Transfer
969,28331,250,failed,
970,12966,,PAID,
971,2674,,,Card
972,26375,$500,,Transfer
973,26111,100,,Card
974,20457,250,paid,crypto
975,31472,250,failed,CARD
976,8084,250,,
977,16851,$500,PAID,Transfer
978,8924,,pending,Transfer
979,10280,,failed,Card
980,8402,-50,,Card
981,12798,100,,CARD
982,23038,250,pending,crypto
983,9782,-50,,CARD
984,2178,250,pending,CARD
985,3938,100,,CARD
986,15521,$500,,Card
987,8036,$500,failed,Transfer
988,798,100,failed,
989,13312,250,paid,Transfer
990,691,500 USD,failed,crypto
991,14638,-50,,Card
992,31471,100,PAID,Cash
993,16276,$500,paid,
994,14173,250,,Card
995,14275,100,,Cash
996,29304,500 USD,pending,Card
997,13918,100,,Cash
998,24888,500 USD,failed,
999,2856,100,failed,Card
1000,455,,paid,crypto
1001,28786,-50,pending,Cash
1002,21258,,PAID,
1003,10676,250,,Cash
1004,30205,$500,PAID,crypto
1005,10422,,paid,Cash
1006,29330,250,,Transfer
1007,5852,,paid,crypto
1008,10450,250,,Card
1009,13180,100,paid,CARD
1010,31110,,paid,Cash
1011,16540,-50,,
1012,18253,,paid,
1013,15338,250,paid,Card
1014,29651,-50,failed,crypto
1015,31755,250,pending,Transfer
1016,15070,500 USD,,Transfer
1017,29378,$500,,Transfer
1018,29427,500 USD,paid,CARD
1019,7173,500 USD,pending,crypto
1020,27116,500 USD,pending,CARD
1021,3346,$500,,
1022,29182,$500,,crypto
1023,18007,500 USD,,crypto
1024,21979,-50,pending,crypto
1025,22788,$500,paid,crypto
1026,20069,-50,,Transfer
